[INFO ] main.rs:54         => Detection system startup
[WARN ] main.rs:78         => Unable to downscale clock speed: CantIncreaseFreq
Clocks will continue to run at 125000000
[DEBUG] main.rs:93         => critical_section: init status LEDs
[DEBUG] buffer.rs:105      => critical_section: init buffers
[DEBUG] main.rs:138        => critical_section: transfer readings FIFO to mutex
[INFO ] components.rs:76   => Resuming normal detection: System initialization complete
[INFO ] components.rs:84   => Previous detection event cleared
[DEBUG] interrupt.rs:115   => critical_section: DMA take readings
[DEBUG] interrupt.rs:154   => critical_section: dma update and check longterm buffers
[DEBUG] interrupt.rs:158   => critical_section: match status for correct buffer logic
[DEBUG] buffer.rs:143      => Checking for contact
[DEBUG] interrupt.rs:169   => exit buffer critical section
[DEBUG] interrupt.rs:173   => critical_section: start new DMA transfer
[DEBUG] interrupt.rs:115   => critical_section: DMA take readings
[DEBUG] interrupt.rs:154   => critical_section: dma update and check longterm buffers
[DEBUG] interrupt.rs:158   => critical_section: match status for correct buffer logic
[DEBUG] buffer.rs:143      => Checking for contact
[DEBUG] interrupt.rs:169   => exit buffer critical section
[DEBUG] interrupt.rs:173   => critical_section: start new DMA transfer
[DEBUG] interrupt.rs:115   => critical_section: DMA take readings
[DEBUG] interrupt.rs:154   => critical_section: dma update and check longterm buffers
[DEBUG] interrupt.rs:158   => critical_section: match status for correct buffer logic
[DEBUG] buffer.rs:143      => Checking for contact
[DEBUG] interrupt.rs:169   => exit buffer critical section
[DEBUG] interrupt.rs:173   => critical_section: start new DMA transfer
[DEBUG] interrupt.rs:115   => critical_section: DMA take readings
[DEBUG] interrupt.rs:154   => critical_section: dma update and check longterm buffers
[DEBUG] interrupt.rs:158   => critical_section: match status for correct buffer logic
[DEBUG] buffer.rs:143      => Checking for contact
[DEBUG] interrupt.rs:169   => exit buffer critical section
[DEBUG] interrupt.rs:173   => critical_section: start new DMA transfer
[DEBUG] interrupt.rs:115   => critical_section: DMA take readings
[DEBUG] interrupt.rs:154   => critical_section: dma update and check longterm buffers
[DEBUG] interrupt.rs:158   => critical_section: match status for correct buffer logic
[DEBUG] buffer.rs:143      => Checking for contact
[DEBUG] interrupt.rs:169   => exit buffer critical section
[DEBUG] interrupt.rs:173   => critical_section: start new DMA transfer
[DEBUG] interrupt.rs:115   => critical_section: DMA take readings
[DEBUG] interrupt.rs:154   => critical_section: dma update and check longterm buffers
